YEAR,MO,DY,HR,RH2M,PRECTOTCORR,WS50M,WS10M,ALLSKY_KT
2019,3,27,21,96.44,0.08,7.08,4.26,-999.0
2019,3,27,22,97.69,0.08,6.54,4.02,-999.0
2019,3,27,23,98.44,0.05,6.05,3.91,-999.0
2019,3,28,0,99.06,0.03,5.61,3.66,-999.0
2019,3,28,1,100.0,0.03,4.79,3.08,-999.0
2019,3,28,2,100.0,0.05,4.41,3.03,-999.0
2019,3,28,3,100.0,0.13,4.63,3.2,-999.0
2019,3,28,4,99.44,0.07,5.09,3.45,-999.0
2019,3,28,5,99.06,0.03,5.23,3.43,-999.0
2019,3,28,6,95.31,0.02,5.19,4.19,0.12
2019,3,28,7,87.75,0.1,6.68,5.47,0.13
2019,3,28,8,78.31,0.1,7.49,6.27,0.23
2019,3,28,9,72.12,0.04,7.71,6.52,0.3
2019,3,28,10,67.56,0.06,7.75,6.6,0.38
2019,3,28,11,64.31,0.07,7.82,6.68,0.34
2019,3,28,12,61.69,0.11,7.98,6.83,0.35
2019,3,28,13,61.38,0.16,8.12,6.93,0.45
2019,3,28,14,64.75,0.2,8.12,6.9,0.43
2019,3,28,15,70.31,0.18,7.88,6.64,0.32
2019,3,28,16,78.06,0.11,6.89,5.66,0.26
2019,3,28,17,87.75,0.07,5.36,3.85,0.3
2019,3,28,18,94.06,0.02,4.77,3.01,-999.0
2019,3,28,19,95.38,0.01,4.87,2.86,-999.0
2019,3,28,20,97.19,0.01,5.44,2.94,-999.0
2019,3,28,21,99.06,0.0,6.03,3.3,-999.0
2019,3,28,22,99.69,0.0,6.28,3.76,-999.0
2019,3,28,23,100.0,0.0,6.4,4.07,-999.0
2019,3,29,0,100.0,0.0,6.25,3.92,-999.0
2019,3,29,1,100.0,0.0,6.1,3.78,-999.0
2019,3,29,2,100.0,0.0,6.05,3.6,-999.0
2019,3,29,3,100.0,0.0,5.91,3.34,-999.0
2019,3,29,4,100.0,0.0,5.42,2.87,-999.0
2019,3,29,5,100.0,0.0,4.99,2.58,-999.0
2019,3,29,6,93.75,0.0,4.42,3.47,0.41
2019,3,29,7,84.44,0.0,4.33,3.83,0.6
2019,3,29,8,70.81,0.0,3.85,3.47,0.62
2019,3,29,9,60.25,0.0,4.07,3.66,0.66
2019,3,29,10,54.06,0.0,4.78,4.28,0.7
2019,3,29,11,49.62,0.0,5.41,4.83,0.69
2019,3,29,12,46.81,0.0,6.01,5.34,0.65
2019,3,29,13,46.25,0.0,6.29,5.58,0.59
2019,3,29,14,47.56,0.01,6.36,5.6,0.43
2019,3,29,15,52.06,0.02,6.41,5.52,0.39
2019,3,29,16,62.44,0.03,6.34,5.11,0.28
2019,3,29,17,79.19,0.04,5.43,3.64,0.3
2019,3,29,18,89.25,0.01,4.2,2.33,-999.0
2019,3,29,19,92.69,0.0,3.63,1.95,-999.0
2019,3,29,20,93.75,0.0,3.44,1.84,-999.0
2019,3,29,21,95.44,0.0,3.95,2.13,-999.0
2019,3,29,22,97.38,0.0,4.4,2.32,-999.0
2019,3,29,23,99.38,0.0,5.18,2.69,-999.0
2019,3,30,0,98.56,0.0,5.7,3.18,-999.0
2019,3,30,1,97.25,0.0,5.63,3.32,-999.0
2019,3,30,2,97.12,0.0,5.23,3.24,-999.0
2019,3,30,3,98.31,0.0,4.98,2.96,-999.0
2019,3,30,4,100.0,0.0,4.87,2.92,-999.0
2019,3,30,5,100.0,0.0,4.64,2.77,0.48
2019,3,30,6,93.0,0.0,4.52,3.66,0.41
2019,3,30,7,81.44,0.0,5.34,4.6,0.56
2019,3,30,8,68.44,0.0,6.9,5.96,0.63
2019,3,30,9,69.0,0.0,6.5,5.65,0.68
2019,3,30,10,70.25,0.04,6.14,5.28,0.64
2019,3,30,11,65.62,0.08,6.43,5.44,0.62
2019,3,30,12,59.94,0.02,6.77,5.64,0.52
2019,3,30,13,55.19,0.01,6.57,5.46,0.34
2019,3,30,14,53.25,0.01,6.35,5.3,0.34
2019,3,30,15,55.38,0.01,6.59,5.49,0.32
2019,3,30,16,62.94,0.0,6.1,4.76,0.16
2019,3,30,17,80.62,0.0,6.02,3.4,0.13
2019,3,30,18,87.31,0.02,6.96,3.88,-999.0
2019,3,30,19,90.62,0.0,7.01,3.98,-999.0
2019,3,30,20,94.31,0.0,6.2,3.2,-999.0
2019,3,30,21,99.62,0.0,5.21,2.72,-999.0
2019,3,30,22,100.0,0.0,5.14,2.78,-999.0
2019,3,30,23,100.0,0.0,4.98,2.79,-999.0
2019,3,31,0,100.0,0.0,4.78,2.78,-999.0
2019,3,31,1,100.0,0.0,4.95,2.8,-999.0
2019,3,31,2,98.69,0.0,4.96,2.8,-999.0
2019,3,31,3,97.81,0.13,5.36,2.89,-999.0
2019,3,31,4,96.94,1.33,5.37,2.87,-999.0
2019,3,31,5,97.0,1.38,5.98,3.06,0.28
2019,3,31,6,94.31,2.8,6.11,3.77,0.07
2019,3,31,7,92.0,2.51,5.7,4.69,0.16
2019,3,31,8,85.19,0.65,6.38,5.37,0.06
2019,3,31,9,77.06,0.29,7.98,6.65,0.05
2019,3,31,10,71.62,1.98,9.76,8.07,0.06
2019,3,31,11,71.12,1.85,10.6,8.72,0.05
2019,3,31,12,74.56,1.48,9.88,7.93,0.04
2019,3,31,13,82.0,5.56,8.7,7.05,0.17
2019,3,31,14,90.69,1.76,7.94,6.63,0.1
2019,3,31,15,88.0,0.24,5.58,4.57,0.05
2019,3,31,16,85.31,0.06,4.08,3.35,0.08
2019,3,31,17,92.75,0.36,4.24,2.37,0.14
2019,3,31,18,95.56,4.41,6.3,3.94,-999.0
2019,3,31,19,96.56,5.21,8.23,5.96,-999.0
2019,3,31,20,97.38,6.25,8.24,5.76,-999.0
2019,3,31,21,97.25,5.19,9.09,6.28,-999.0
2019,3,31,22,97.19,2.56,9.27,6.15,-999.0
2019,3,31,23,97.38,1.19,8.8,5.5,-999.0
2019,4,1,0,98.75,5.77,7.98,4.57,-999.0
2019,4,1,1,99.88,9.33,7.24,3.89,-999.0
2019,4,1,2,100.0,13.09,6.37,3.33,-999.0
2019,4,1,3,100.0,5.75,6.12,3.23,-999.0
2019,4,1,4,99.0,3.36,6.26,3.69,-999.0
2019,4,1,5,98.88,1.85,6.6,4.09,0.19
2019,4,1,6,96.94,0.33,8.14,6.23,0.04
2019,4,1,7,95.44,0.26,8.52,6.86,0.04
2019,4,1,8,91.44,0.31,9.06,7.25,0.03
2019,4,1,9,84.19,0.58,8.82,6.68,0.03
2019,4,1,10,81.0,0.81,10.83,8.31,0.06
2019,4,1,11,82.25,0.57,12.27,9.49,0.06
2019,4,1,12,82.25,0.44,13.2,10.03,0.08
2019,4,1,13,74.06,0.48,13.72,10.37,0.05
2019,4,1,14,65.88,1.12,14.61,11.25,0.05
