datetime,Load,month_sin,month_cos,day_of_week_sin,day_of_week_cos,hour_sin,hour_cos,Load_previous_hour,Load_same_hour_previous_day,Load_same_hour_previous_week
2021-08-17 05:00:00+00:00,521.416927,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.9659258262890684,0.2588190451025207,528.004822,530.06203,518.396325
2021-08-17 06:00:00+00:00,514.533577,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,521.416927,524.69762,512.772844
2021-08-17 07:00:00+00:00,526.715437,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.9659258262890684,-0.2588190451025206,514.533577,536.051356,530.918622
2021-08-17 08:00:00+00:00,565.631235,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,526.715437,575.803233,577.870467
2021-08-17 09:00:00+00:00,604.437688,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.7071067811865476,-0.7071067811865475,565.631235,613.326076,620.485872
2021-08-17 10:00:00+00:00,638.225179,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.4999999999999999,-0.8660254037844387,604.437688,643.983752,641.534298
2021-08-17 11:00:00+00:00,664.580987,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.258819045102521,-0.9659258262890682,638.225179,666.050519,635.072563
2021-08-17 12:00:00+00:00,675.433604,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,664.580987,676.52046,625.836332
2021-08-17 13:00:00+00:00,650.38606,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.2588190451025208,-0.9659258262890684,675.433604,651.683451,587.073573
2021-08-17 14:00:00+00:00,648.321519,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,650.38606,649.345458,576.87062
2021-08-17 15:00:00+00:00,650.015041,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.7071067811865471,-0.7071067811865479,648.321519,652.715969,537.904585
2021-08-17 16:00:00+00:00,653.19548,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.8660254037844384,-0.5000000000000004,650.015041,650.753434,532.053116
2021-08-17 17:00:00+00:00,658.136389,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-0.9659258262890684,-0.2588190451025206,653.19548,664.268987,538.35828
